ts_lamport;ts_epoch_ms;nodo;tipo;detalle
218;1782096155394;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
229;1782096155398;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
230;1782096155398;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
238;1782096155402;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
239;1782096155402;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
248;1782096155408;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
247;1782096155408;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
255;1782096155413;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
256;1782096155413;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
264;1782096155416;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
265;1782096155416;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
271;1782096155420;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
273;1782096155420;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
281;1782096155425;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
282;1782096155425;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
289;1782096155428;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
290;1782096155428;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
296;1782096155432;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
298;1782096155432;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
306;1782096155434;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
307;1782096155434;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
315;1782096155440;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
313;1782096155440;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
321;1782096155445;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
323;1782096155445;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
329;1782096155451;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
331;1782096155451;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
339;1782096155458;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
340;1782096155459;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
348;1782096155466;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
346;1782096155467;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
357;1782096155469;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
355;1782096155469;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
364;1782096155474;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
366;1782096155474;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
374;1782096155478;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
376;1782096155479;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
382;1782096155483;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
383;1782096155483;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
391;1782096155486;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
392;1782096155486;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
400;1782096155489;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
401;1782096155489;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
409;1782096155493;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
411;1782096155494;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
417;1782096155498;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
415;1782096155498;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
423;1782096155502;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
425;1782096155502;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
434;1782096155506;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
435;1782096155506;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
443;1782096155509;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
444;1782096155509;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
452;1782096155513;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
453;1782096155514;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
461;1782096155516;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
462;1782096155517;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
470;1782096155521;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
471;1782096155522;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
476;1782096155526;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
478;1782096155526;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
487;1782096155530;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
485;1782096155530;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
495;1782096155535;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
496;1782096155535;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
502;1782096155540;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
504;1782096155541;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
513;1782096155546;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
512;1782096155548;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
520;1782096155552;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
521;1782096155553;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
529;1782096155556;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
530;1782096155557;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
538;1782096155560;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
539;1782096155561;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
545;1782096155565;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
547;1782096155565;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
555;1782096155570;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
556;1782096155571;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
563;1782096155574;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
561;1782096155574;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
572;1782096155578;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
570;1782096155578;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
581;1782096155581;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
582;1782096155581;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
588;1782096155589;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
590;1782096155593;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
598;1782096155600;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
596;1782096155600;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
606;1782096155605;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
607;1782096155605;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
613;1782096155610;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
615;1782096155611;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
621;1782096155617;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
623;1782096155618;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
631;1782096155623;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
629;1782096155623;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
637;1782096155629;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
639;1782096155630;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
647;1782096155637;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
648;1782096155638;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
654;1782096155642;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
656;1782096155642;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
662;1782096155648;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
664;1782096155651;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
670;1782096155661;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
672;1782096155661;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
678;1782096155671;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
680;1782096155674;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
688;1782096155679;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
690;1782096155681;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
694;1782096155692;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
696;1782096155693;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
704;1782096155705;2;MUTEX_REQUEST;REQUEST de nodo 1 -> REPLY
705;1782096155705;2;REPLICA_RECEPCION;de nodo 1 tipo=REGISTRAR_PEER
