ts_ms;latencia_ms;exito
1782096195421;78;1
1782096195508;86;1
1782096195509;0;1
1782096195587;78;1
1782096195668;80;1
1782096195749;82;1
1782096195836;86;1
1782096195837;0;1
1782096195921;84;1
1782096196007;85;1
1782096196133;125;1
1782096196222;89;1
1782096196223;0;1
1782096196301;77;1
1782096196381;80;1
1782096196461;80;1
1782096196551;89;1
1782096196551;0;1
1782096196639;87;1
1782096196720;81;1
1782096196805;85;1
1782096196892;86;1
1782096196893;0;1
1782096196978;85;1
1782096197070;91;1
1782096197203;133;1
1782096197295;92;1
1782096197296;1;1
1782096197379;82;1
1782096197461;81;1
1782096197549;87;1
1782096197638;89;1
1782096197639;1;1
1782096197725;85;1
1782096197811;86;1
1782096197899;88;1
1782096197994;94;1
1782096197995;1;1
1782096198088;92;1
1782096198222;134;1
1782096198310;87;1
1782096198405;94;1
1782096198406;1;1
1782096198497;90;1
1782096198595;98;1
1782096198687;91;1
1782096198781;95;1
1782096198782;1;1
1782096198877;93;1
1782096198971;93;1
1782096199069;99;1
1782096199226;156;1
1782096199226;1;1
1782096199323;95;1
1782096199425;102;1
1782096199520;94;1
1782096199624;104;1
1782096199625;1;1
1782096199721;95;1
1782096199828;106;1
1782096199934;106;1
1782096200061;127;1
1782096200062;1;1
1782096200227;164;1
1782096200322;94;1
1782096200426;103;1
1782096200545;119;1
1782096200547;1;1
1782096200651;103;1
1782096200749;98;1
1782096200871;123;1
1782096200988;116;1
1782096200989;1;1
1782096201160;171;1
1782096201268;106;1
1782096201376;108;1
1782096201492;115;1
1782096201494;1;1
1782096201624;130;1
1782096201737;112;1
1782096201849;112;1
1782096201966;116;1
1782096201967;1;1
1782096202079;112;1
1782096202251;171;1
1782096202356;104;1
1782096202465;109;1
1782096202467;1;1
1782096202583;115;1
1782096202698;115;1
1782096202806;108;1
1782096202924;117;1
1782096202925;1;1
1782096203030;106;1
1782096203212;181;1
1782096203315;103;1
1782096203429;113;1
1782096203431;1;1
1782096203541;110;1
1782096203652;110;1
1782096203762;110;1
1782096203883;120;1
1782096203885;1;1
1782096203997;112;1
1782096204176;178;1
1782096204287;111;1
1782096204405;118;1
1782096204407;1;1
1782096204519;111;1
1782096204629;110;1
1782096204740;111;1
1782096204864;123;1
1782096204865;0;1
1782096204979;113;1
1782096205202;222;1
1782096205311;109;1
1782096205434;123;1
1782096205436;1;1
1782096205553;116;1
1782096205668;115;1
1782096205789;121;1
1782096205912;122;1
1782096205913;1;1
1782096206026;113;1
1782096206239;212;1
1782096206350;110;1
1782096206468;118;1
1782096206470;1;1
1782096206588;118;1
1782096206706;117;1
1782096206825;120;1
1782096206948;121;1
1782096206949;1;1
1782096207065;115;1
1782096207289;223;1
1782096207400;111;1
1782096207521;120;1
1782096207522;1;1
1782096207635;113;1
1782096207752;115;1
1782096207866;114;1
1782096207990;123;1
1782096207992;1;1
1782096208224;231;1
1782096208342;118;1
1782096208488;146;1
1782096208645;156;1
1782096208647;2;1
1782096208773;126;1
1782096208924;150;1
1782096209057;134;1
1782096209288;230;1
1782096209290;1;1
1782096209435;145;1
1782096209599;163;1
1782096209733;134;1
1782096209878;145;1
1782096209879;1;1
1782096209997;117;1
1782096210302;305;1
1782096210535;231;1
1782096210772;237;1
1782096210779;7;1
1782096211072;292;1
1782096211370;298;1
1782096211749;378;1
1782096212055;306;1
1782096212059;2;1
1782096212409;350;1
1782096212627;219;1
1782096212889;261;1
1782096213224;333;1
1782096213239;15;1
1782096213396;156;1
1782096213523;125;1
1782096213658;135;1
1782096213800;142;1
1782096213802;1;1
1782096213930;128;1
1782096214052;121;1
1782096214257;204;1
1782096214384;128;1
1782096214387;1;1
1782096214508;120;1
1782096214624;116;1
1782096214744;119;1
1782096214894;149;1
1782096214896;2;1
1782096215033;137;1
1782096155259;227;1
1782096155506;245;1
1782096155884;378;1
1782096156190;305;1
1782096156353;162;1
1782096156355;1;1
1782096156553;198;1
1782096156758;204;1
1782096156921;162;1
1782096157080;159;1
1782096157081;1;1
1782096157239;158;1
1782096157340;101;1
1782096157432;91;1
1782096157544;111;1
1782096157545;1;1
1782096157638;93;1
1782096157739;100;1
1782096157831;93;1
1782096157946;113;1
1782096157947;1;1
1782096158046;99;1
1782096158155;109;1
1782096158267;112;1
1782096158358;89;1
1782096158359;0;1
1782096158447;88;1
1782096158543;96;1
1782096158639;95;1
1782096158750;111;1
1782096158750;0;1
1782096158866;114;1
1782096159000;135;1
1782096159120;118;1
1782096159242;122;1
1782096159243;1;1
1782096159355;111;1
1782096159470;114;1
1782096159595;125;1
1782096159737;141;1
1782096159738;1;1
1782096159866;128;1
1782096159996;129;1
1782096160120;124;1
1782096160244;123;1
1782096160245;1;1
1782096160365;119;1
1782096160487;122;1
1782096160607;119;1
1782096160735;127;1
1782096160737;1;1
1782096160860;123;1
1782096160985;125;1
1782096161127;142;1
1782096161258;130;1
1782096161259;1;1
1782096161392;133;1
1782096161525;132;1
1782096161657;132;1
1782096161809;151;1
1782096161810;1;1
1782096161940;130;1
1782096162075;135;1
1782096162203;127;1
1782096162347;143;1
1782096162349;1;1
1782096162490;140;1
1782096162630;139;1
1782096162774;144;1
1782096162908;133;1
1782096162910;1;1
1782096163053;143;1
1782096163207;153;1
1782096163355;147;1
1782096163503;148;1
1782096163505;1;1
1782096163654;149;1
1782096163807;152;1
1782096163961;155;1
1782096164117;155;1
1782096164120;2;1
1782096164303;182;1
1782096164474;170;1
1782096164630;156;1
1782096164786;155;1
1782096164789;2;1
1782096164932;143;1
1782096165048;116;1
1782096165134;86;1
1782096165241;106;1
1782096165242;0;1
1782096165346;104;1
1782096165445;99;1
1782096165539;94;1
1782096165638;99;1
1782096165639;1;1
1782096165744;105;1
1782096165841;95;1
1782096165931;90;1
1782096166008;76;1
1782096166008;0;1
1782096166084;76;1
1782096166162;77;1
1782096166256;93;1
1782096166335;79;1
1782096166336;0;1
1782096166423;87;1
1782096166500;76;1
1782096166585;84;1
1782096166670;84;1
1782096166670;0;1
1782096166747;77;1
1782096166825;77;1
1782096166903;77;1
1782096166996;92;1
1782096166997;0;1
1782096167077;79;1
1782096167168;92;1
1782096167250;80;1
1782096167336;86;1
1782096167337;1;1
1782096167421;83;1
1782096167515;93;1
1782096167611;95;1
1782096167714;103;1
1782096167715;0;1
1782096167807;91;1
1782096167917;110;1
1782096168019;101;1
1782096168118;98;1
1782096168119;0;1
1782096168211;92;1
1782096168320;109;1
1782096168468;147;1
1782096168605;137;1
1782096168607;1;1
1782096168745;138;1
1782096168894;149;1
1782096169025;131;1
1782096169160;135;1
1782096169161;0;1
1782096169298;136;1
1782096169446;148;1
1782096169584;137;1
1782096169720;136;1
1782096169723;2;1
